id,week,month,monthofyear,year
20160706,2016W27,201607,07,2016
20160707,2016W27,201607,07,2016
20160708,2016W27,201607,07,2016
20160709,2016W27,201607,07,2016
20160710,2016W27,201607,07,2016
20160711,2016W28,201607,07,2016
20160712,2016W28,201607,07,2016
20160713,2016W28,201607,07,2016
20160714,2016W28,201607,07,2016
20160715,2016W28,201607,07,2016
20160716,2016W28,201607,07,2016
20160717,2016W28,201607,07,2016
20160718,2016W29,201607,07,2016
20160719,2016W29,201607,07,2016
20160720,2016W29,201607,07,2016
20160721,2016W29,201607,07,2016
20160722,2016W29,201607,07,2016
20160723,2016W29,201607,07,2016
20160724,2016W29,201607,07,2016
20160725,2016W30,201607,07,2016
20160726,2016W30,201607,07,2016
20160727,2016W30,201607,07,2016
20160728,2016W30,201607,07,2016
20160729,2016W30,201607,07,2016
20160730,2016W30,201607,07,2016
20160731,2016W30,201607,07,2016
20160801,2016W31,201608,08,2016
20160802,2016W31,201608,08,2016
20160803,2016W31,201608,08,2016
20160804,2016W31,201608,08,2016
20160805,2016W31,201608,08,2016
20160806,2016W31,201608,08,2016
20160807,2016W31,201608,08,2016
20160808,2016W32,201608,08,2016
20160809,2016W32,201608,08,2016
20160810,2016W32,201608,08,2016
20160811,2016W32,201608,08,2016
20160812,2016W32,201608,08,2016
20160813,2016W32,201608,08,2016
20160814,2016W32,201608,08,2016
20160815,2016W33,201608,08,2016
20160816,2016W33,201608,08,2016
20160817,2016W33,201608,08,2016
20160818,2016W33,201608,08,2016
20160819,2016W33,201608,08,2016
20160820,2016W33,201608,08,2016
20160821,2016W33,201608,08,2016
20160822,2016W34,201608,08,2016
20160823,2016W34,201608,08,2016
20160824,2016W34,201608,08,2016
20160825,2016W34,201608,08,2016
20160826,2016W34,201608,08,2016
20160827,2016W34,201608,08,2016
20160828,2016W34,201608,08,2016
20160829,2016W35,201608,08,2016
20160830,2016W35,201608,08,2016
20160831,2016W35,201608,08,2016
20160901,2016W35,201609,09,2016
20160902,2016W35,201609,09,2016
20160903,2016W35,201609,09,2016
20160904,2016W35,201609,09,2016
20160905,2016W36,201609,09,2016
20160906,2016W36,201609,09,2016
20160907,2016W36,201609,09,2016
20160908,2016W36,201609,09,2016
20160909,2016W36,201609,09,2016
20160910,2016W36,201609,09,2016
20160911,2016W36,201609,09,2016
20160912,2016W37,201609,09,2016
20160913,2016W37,201609,09,2016
20160914,2016W37,201609,09,2016
20160915,2016W37,201609,09,2016
20160916,2016W37,201609,09,2016
20160917,2016W37,201609,09,2016
20160918,2016W37,201609,09,2016
20160919,2016W38,201609,09,2016
20160920,2016W38,201609,09,2016
20160921,2016W38,201609,09,2016
20160922,2016W38,201609,09,2016
20160923,2016W38,201609,09,2016
20160924,2016W38,201609,09,2016
20160925,2016W38,201609,09,2016
20160926,2016W39,201609,09,2016
20160927,2016W39,201609,09,2016
20160928,2016W39,201609,09,2016
20160929,2016W39,201609,09,2016
20160930,2016W39,201609,09,2016
20161001,2016W39,201610,10,2016
20161002,2016W39,201610,10,2016
20161003,2016W40,201610,10,2016
20161004,2016W40,201610,10,2016
20161005,2016W40,201610,10,2016
20161006,2016W40,201610,10,2016
20161007,2016W40,201610,10,2016
20161008,2016W40,201610,10,2016
20161009,2016W40,201610,10,2016
20161010,2016W41,201610,10,2016
20161011,2016W41,201610,10,2016
20161012,2016W41,201610,10,2016
20161013,2016W41,201610,10,2016
20161014,2016W41,201610,10,2016
20161015,2016W41,201610,10,2016
20161016,2016W41,201610,10,2016
20161017,2016W42,201610,10,2016
20161018,2016W42,201610,10,2016
20161019,2016W42,201610,10,2016
20161020,2016W42,201610,10,2016
20161021,2016W42,201610,10,2016
20161022,2016W42,201610,10,2016
20161023,2016W42,201610,10,2016
20161024,2016W43,201610,10,2016
20161025,2016W43,201610,10,2016
20161026,2016W43,201610,10,2016
20161027,2016W43,201610,10,2016
20161028,2016W43,201610,10,2016
20161029,2016W43,201610,10,2016
20161030,2016W43,201610,10,2016
20161031,2016W44,201610,10,2016
20161101,2016W44,201611,11,2016
20161102,2016W44,201611,11,2016
20161103,2016W44,201611,11,2016
20161104,2016W44,201611,11,2016
20161105,2016W44,201611,11,2016
20161106,2016W44,201611,11,2016
20161107,2016W45,201611,11,2016
20161108,2016W45,201611,11,2016
20161109,2016W45,201611,11,2016
20161110,2016W45,201611,11,2016
20161111,2016W45,201611,11,2016
20161112,2016W45,201611,11,2016
20161113,2016W45,201611,11,2016
20161114,2016W46,201611,11,2016
20161115,2016W46,201611,11,2016
20161116,2016W46,201611,11,2016
20161117,2016W46,201611,11,2016
20161118,2016W46,201611,11,2016
20161119,2016W46,201611,11,2016
20161120,2016W46,201611,11,2016
20161121,2016W47,201611,11,2016
20161122,2016W47,201611,11,2016
20161123,2016W47,201611,11,2016
20161124,2016W47,201611,11,2016
20161125,2016W47,201611,11,2016
20161126,2016W47,201611,11,2016
20161127,2016W47,201611,11,2016
20161128,2016W48,201611,11,2016
20161129,2016W48,201611,11,2016
20161130,2016W48,201611,11,2016
20161201,2016W48,201612,12,2016
20161202,2016W48,201612,12,2016
20161203,2016W48,201612,12,2016
20161204,2016W48,201612,12,2016
20161205,2016W49,201612,12,2016
20161206,2016W49,201612,12,2016
20161207,2016W49,201612,12,2016
20161208,2016W49,201612,12,2016
20161209,2016W49,201612,12,2016
20161210,2016W49,201612,12,2016
20161211,2016W49,201612,12,2016
20161212,2016W50,201612,12,2016
20161213,2016W50,201612,12,2016
20161214,2016W50,201612,12,2016
20161215,2016W50,201612,12,2016
20161216,2016W50,201612,12,2016
20161217,2016W50,201612,12,2016
20161218,2016W50,201612,12,2016
20161219,2016W51,201612,12,2016
20161220,2016W51,201612,12,2016
20161221,2016W51,201612,12,2016
20161222,2016W51,201612,12,2016
20161223,2016W51,201612,12,2016
20161224,2016W51,201612,12,2016
20161225,2016W51,201612,12,2016
20161226,2016W52,201612,12,2016
20161227,2016W52,201612,12,2016
20161228,2016W52,201612,12,2016
20161229,2016W52,201612,12,2016
20161230,2016W52,201612,12,2016
20161231,2016W52,201612,12,2016
20170101,2017W52,201701,01,2017
20170102,2017W01,201701,01,2017
20170103,2017W01,201701,01,2017
20170104,2017W01,201701,01,2017
20170105,2017W01,201701,01,2017
20170106,2017W01,201701,01,2017
20170107,2017W01,201701,01,2017
20170108,2017W01,201701,01,2017
20170109,2017W02,201701,01,2017
20170110,2017W02,201701,01,2017
20170111,2017W02,201701,01,2017
20170112,2017W02,201701,01,2017
20170113,2017W02,201701,01,2017
20170114,2017W02,201701,01,2017
20170115,2017W02,201701,01,2017
20170116,2017W03,201701,01,2017
20170117,2017W03,201701,01,2017
20170118,2017W03,201701,01,2017
20170119,2017W03,201701,01,2017
20170120,2017W03,201701,01,2017
20170121,2017W03,201701,01,2017
20170122,2017W03,201701,01,2017
20170123,2017W04,201701,01,2017
20170124,2017W04,201701,01,2017
20170125,2017W04,201701,01,2017
20170126,2017W04,201701,01,2017
20170127,2017W04,201701,01,2017
20170128,2017W04,201701,01,2017
20170129,2017W04,201701,01,2017
20170130,2017W05,201701,01,2017
20170131,2017W05,201701,01,2017
20170201,2017W05,201702,02,2017
20170202,2017W05,201702,02,2017
20170203,2017W05,201702,02,2017
20170204,2017W05,201702,02,2017
20170205,2017W05,201702,02,2017
20170206,2017W06,201702,02,2017
20170207,2017W06,201702,02,2017
20170208,2017W06,201702,02,2017
20170209,2017W06,201702,02,2017
20170210,2017W06,201702,02,2017
20170211,2017W06,201702,02,2017
