id,dateofsemiday,time
20170925D,20170925,D
20170925N,20170925,N
20170926D,20170926,D
20170926N,20170926,N
20170927D,20170927,D
20170927N,20170927,N
20170928D,20170928,D
20170928N,20170928,N
20170929D,20170929,D
20170929N,20170929,N
20170930D,20170930,D
20170930N,20170930,N
20171001D,20171001,D
20171001N,20171001,N
20171002D,20171002,D
20171002N,20171002,N
20171003D,20171003,D
20171003N,20171003,N
20171004D,20171004,D
20171004N,20171004,N
20171005D,20171005,D
20171005N,20171005,N
20171006D,20171006,D
20171006N,20171006,N
20171007D,20171007,D
20171007N,20171007,N
20171008D,20171008,D
20171008N,20171008,N
20171009D,20171009,D
20171009N,20171009,N
20171010D,20171010,D
20171010N,20171010,N
20171011D,20171011,D
20171011N,20171011,N
20171012D,20171012,D
20171012N,20171012,N
20171013D,20171013,D
20171013N,20171013,N
20171014D,20171014,D
20171014N,20171014,N
20171015D,20171015,D
20171015N,20171015,N
20171016D,20171016,D
20171016N,20171016,N
20171017D,20171017,D
20171017N,20171017,N
20171018D,20171018,D
20171018N,20171018,N
20171019D,20171019,D
20171019N,20171019,N
20171020D,20171020,D
20171020N,20171020,N
20171021D,20171021,D
20171021N,20171021,N
20171022D,20171022,D
20171022N,20171022,N
20171023D,20171023,D
20171023N,20171023,N
20171024D,20171024,D
20171024N,20171024,N
20171025D,20171025,D
20171025N,20171025,N
20171026D,20171026,D
20171026N,20171026,N
20171027D,20171027,D
20171027N,20171027,N
20171028D,20171028,D
20171028N,20171028,N
20171029D,20171029,D
20171029N,20171029,N
20171030D,20171030,D
20171030N,20171030,N
20171031D,20171031,D
20171031N,20171031,N
20171101D,20171101,D
20171101N,20171101,N
20171102D,20171102,D
20171102N,20171102,N
20171103D,20171103,D
20171103N,20171103,N
20171104D,20171104,D
20171104N,20171104,N
20171105D,20171105,D
20171105N,20171105,N
20171106D,20171106,D
20171106N,20171106,N
20171107D,20171107,D
20171107N,20171107,N
20171108D,20171108,D
20171108N,20171108,N
20171109D,20171109,D
20171109N,20171109,N
20171110D,20171110,D
20171110N,20171110,N
20171111D,20171111,D
20171111N,20171111,N
20171112D,20171112,D
20171112N,20171112,N
20171113D,20171113,D
20171113N,20171113,N
20171114D,20171114,D
20171114N,20171114,N
20171115D,20171115,D
20171115N,20171115,N
20171116D,20171116,D
20171116N,20171116,N
20171117D,20171117,D
20171117N,20171117,N
20171118D,20171118,D
20171118N,20171118,N
20171119D,20171119,D
20171119N,20171119,N
20171120D,20171120,D
20171120N,20171120,N
20171121D,20171121,D
20171121N,20171121,N
20171122D,20171122,D
20171122N,20171122,N
20171123D,20171123,D
20171123N,20171123,N
20171124D,20171124,D
20171124N,20171124,N
20171125D,20171125,D
20171125N,20171125,N
20171126D,20171126,D
20171126N,20171126,N
20171127D,20171127,D
20171127N,20171127,N
20171128D,20171128,D
20171128N,20171128,N
20171129D,20171129,D
20171129N,20171129,N
20171130D,20171130,D
20171130N,20171130,N
20171201D,20171201,D
20171201N,20171201,N
20171202D,20171202,D
20171202N,20171202,N
20171203D,20171203,D
20171203N,20171203,N
20171204D,20171204,D
20171204N,20171204,N
20171205D,20171205,D
20171205N,20171205,N
20171206D,20171206,D
20171206N,20171206,N
20171207D,20171207,D
20171207N,20171207,N
20171208D,20171208,D
20171208N,20171208,N
20171209D,20171209,D
20171209N,20171209,N
20171210D,20171210,D
20171210N,20171210,N
20171211D,20171211,D
20171211N,20171211,N
20171212D,20171212,D
20171212N,20171212,N
20171213D,20171213,D
20171213N,20171213,N
20171214D,20171214,D
20171214N,20171214,N
20171215D,20171215,D
20171215N,20171215,N
20171216D,20171216,D
20171216N,20171216,N
20171217D,20171217,D
20171217N,20171217,N
20171218D,20171218,D
20171218N,20171218,N
20171219D,20171219,D
20171219N,20171219,N
20171220D,20171220,D
20171220N,20171220,N
20171221D,20171221,D
20171221N,20171221,N
20171222D,20171222,D
20171222N,20171222,N
20171223D,20171223,D
20171223N,20171223,N
20171224D,20171224,D
20171224N,20171224,N
20171225D,20171225,D
20171225N,20171225,N
20171226D,20171226,D
20171226N,20171226,N
20171227D,20171227,D
20171227N,20171227,N
20171228D,20171228,D
20171228N,20171228,N
20171229D,20171229,D
20171229N,20171229,N
20171230D,20171230,D
20171230N,20171230,N
20171231D,20171231,D
20171231N,20171231,N
20180101D,20180101,D
20180101N,20180101,N
20180102D,20180102,D
20180102N,20180102,N
20180103D,20180103,D
20180103N,20180103,N
20180104D,20180104,D
20180104N,20180104,N
20180105D,20180105,D
20180105N,20180105,N
20180106D,20180106,D
20180106N,20180106,N
20180107D,20180107,D
20180107N,20180107,N
20180108D,20180108,D
20180108N,20180108,N
20180109D,20180109,D
20180109N,20180109,N
20180110D,20180110,D
20180110N,20180110,N
20180111D,20180111,D
20180111N,20180111,N
20180112D,20180112,D
20180112N,20180112,N
20180113D,20180113,D
20180113N,20180113,N
20180114D,20180114,D
20180114N,20180114,N
20180115D,20180115,D
20180115N,20180115,N
20180116D,20180116,D
20180116N,20180116,N
20180117D,20180117,D
20180117N,20180117,N
20180118D,20180118,D
20180118N,20180118,N
20180119D,20180119,D
20180119N,20180119,N
20180120D,20180120,D
20180120N,20180120,N
20180121D,20180121,D
20180121N,20180121,N
20180122D,20180122,D
20180122N,20180122,N
20180123D,20180123,D
20180123N,20180123,N
20180124D,20180124,D
20180124N,20180124,N
20180125D,20180125,D
20180125N,20180125,N
20180126D,20180126,D
20180126N,20180126,N
20180127D,20180127,D
20180127N,20180127,N
20180128D,20180128,D
20180128N,20180128,N
20180129D,20180129,D
20180129N,20180129,N
20180130D,20180130,D
20180130N,20180130,N
20180131D,20180131,D
20180131N,20180131,N
20180201D,20180201,D
20180201N,20180201,N
20180202D,20180202,D
20180202N,20180202,N
20180203D,20180203,D
20180203N,20180203,N
20180204D,20180204,D
20180204N,20180204,N
20180205D,20180205,D
20180205N,20180205,N
20180206D,20180206,D
20180206N,20180206,N
20180207D,20180207,D
20180207N,20180207,N
20180208D,20180208,D
20180208N,20180208,N
20180209D,20180209,D
20180209N,20180209,N
20180210D,20180210,D
20180210N,20180210,N
20180211D,20180211,D
20180211N,20180211,N
20180212D,20180212,D
20180212N,20180212,N
20180213D,20180213,D
20180213N,20180213,N
20180214D,20180214,D
20180214N,20180214,N
20180215D,20180215,D
20180215N,20180215,N
20180216D,20180216,D
20180216N,20180216,N
20180217D,20180217,D
20180217N,20180217,N
20180218D,20180218,D
20180218N,20180218,N
20180219D,20180219,D
20180219N,20180219,N
20180220D,20180220,D
20180220N,20180220,N
20180221D,20180221,D
20180221N,20180221,N
20180222D,20180222,D
20180222N,20180222,N
20180223D,20180223,D
20180223N,20180223,N
20180224D,20180224,D
20180224N,20180224,N
20180225D,20180225,D
20180225N,20180225,N
20180226D,20180226,D
20180226N,20180226,N
20180227D,20180227,D
20180227N,20180227,N
20180228D,20180228,D
20180228N,20180228,N
20180301D,20180301,D
20180301N,20180301,N
20180302D,20180302,D
20180302N,20180302,N
20180303D,20180303,D
20180303N,20180303,N
20180304D,20180304,D
20180304N,20180304,N
20180305D,20180305,D
20180305N,20180305,N
20180306D,20180306,D
20180306N,20180306,N
20180307D,20180307,D
20180307N,20180307,N
20180308D,20180308,D
20180308N,20180308,N
20180309D,20180309,D
20180309N,20180309,N
20180310D,20180310,D
20180310N,20180310,N
20180311D,20180311,D
20180311N,20180311,N
20180312D,20180312,D
20180312N,20180312,N
20180313D,20180313,D
20180313N,20180313,N
20180314D,20180314,D
20180314N,20180314,N
20180315D,20180315,D
20180315N,20180315,N
20180316D,20180316,D
20180316N,20180316,N
20180317D,20180317,D
20180317N,20180317,N
20180318D,20180318,D
20180318N,20180318,N
20180319D,20180319,D
20180319N,20180319,N
20180320D,20180320,D
20180320N,20180320,N
20180321D,20180321,D
20180321N,20180321,N
20180322D,20180322,D
20180322N,20180322,N
20180323D,20180323,D
20180323N,20180323,N
20180324D,20180324,D
20180324N,20180324,N
20180325D,20180325,D
20180325N,20180325,N
20180326D,20180326,D
20180326N,20180326,N
20180327D,20180327,D
20180327N,20180327,N
20180328D,20180328,D
20180328N,20180328,N
20180329D,20180329,D
20180329N,20180329,N
20180330D,20180330,D
20180330N,20180330,N
20180331D,20180331,D
20180331N,20180331,N
20180401D,20180401,D
20180401N,20180401,N
20180402D,20180402,D
20180402N,20180402,N
20180403D,20180403,D
20180403N,20180403,N
20180404D,20180404,D
20180404N,20180404,N
20180405D,20180405,D
20180405N,20180405,N
20180406D,20180406,D
20180406N,20180406,N
20180407D,20180407,D
20180407N,20180407,N
20180408D,20180408,D
20180408N,20180408,N
20180409D,20180409,D
20180409N,20180409,N
20180410D,20180410,D
20180410N,20180410,N
20180411D,20180411,D
20180411N,20180411,N
20180412D,20180412,D
20180412N,20180412,N
20180413D,20180413,D
20180413N,20180413,N
20180414D,20180414,D
20180414N,20180414,N
20180415D,20180415,D
20180415N,20180415,N
20180416D,20180416,D
20180416N,20180416,N
20180417D,20180417,D
20180417N,20180417,N
20180418D,20180418,D
20180418N,20180418,N
20180419D,20180419,D
20180419N,20180419,N
20180420D,20180420,D
20180420N,20180420,N
20180421D,20180421,D
20180421N,20180421,N
20180422D,20180422,D
20180422N,20180422,N
20180423D,20180423,D
20180423N,20180423,N
20180424D,20180424,D
20180424N,20180424,N
20180425D,20180425,D
20180425N,20180425,N
20180426D,20180426,D
20180426N,20180426,N
20180427D,20180427,D
20180427N,20180427,N
20180428D,20180428,D
20180428N,20180428,N
20180429D,20180429,D
20180429N,20180429,N
20180430D,20180430,D
20180430N,20180430,N
20180501D,20180501,D
20180501N,20180501,N
20180502D,20180502,D
20180502N,20180502,N
20180503D,20180503,D
20180503N,20180503,N
20180504D,20180504,D
20180504N,20180504,N
20180505D,20180505,D
20180505N,20180505,N
20180506D,20180506,D
20180506N,20180506,N
20180507D,20180507,D
20180507N,20180507,N
20180508D,20180508,D
20180508N,20180508,N
20180509D,20180509,D
20180509N,20180509,N
20180510D,20180510,D
20180510N,20180510,N
20180511D,20180511,D
20180511N,20180511,N
20180512D,20180512,D
20180512N,20180512,N
20180513D,20180513,D
20180513N,20180513,N
20180514D,20180514,D
20180514N,20180514,N
20180515D,20180515,D
20180515N,20180515,N
20180516D,20180516,D
20180516N,20180516,N
20180517D,20180517,D
20180517N,20180517,N
20180518D,20180518,D
20180518N,20180518,N
20180519D,20180519,D
20180519N,20180519,N
20180520D,20180520,D
20180520N,20180520,N
20180521D,20180521,D
20180521N,20180521,N
20180522D,20180522,D
20180522N,20180522,N
20180523D,20180523,D
20180523N,20180523,N
20180524D,20180524,D
20180524N,20180524,N
20180525D,20180525,D
20180525N,20180525,N
20180526D,20180526,D
20180526N,20180526,N
20180527D,20180527,D
20180527N,20180527,N
20180528D,20180528,D
20180528N,20180528,N
20180529D,20180529,D
20180529N,20180529,N
20180530D,20180530,D
20180530N,20180530,N
20180531D,20180531,D
20180531N,20180531,N
20180601D,20180601,D
20180601N,20180601,N
20180602D,20180602,D
20180602N,20180602,N
20180603D,20180603,D
20180603N,20180603,N
20180604D,20180604,D
20180604N,20180604,N
20180605D,20180605,D
20180605N,20180605,N
20180606D,20180606,D
20180606N,20180606,N
20180607D,20180607,D
20180607N,20180607,N
20180608D,20180608,D
20180608N,20180608,N
20180609D,20180609,D
20180609N,20180609,N
20180610D,20180610,D
20180610N,20180610,N
20180611D,20180611,D
20180611N,20180611,N
20180612D,20180612,D
20180612N,20180612,N
20180613D,20180613,D
20180613N,20180613,N
20180614D,20180614,D
20180614N,20180614,N
20180615D,20180615,D
20180615N,20180615,N
20180616D,20180616,D
20180616N,20180616,N
20180617D,20180617,D
20180617N,20180617,N
20180618D,20180618,D
20180618N,20180618,N
20180619D,20180619,D
20180619N,20180619,N
20180620D,20180620,D
20180620N,20180620,N
20180621D,20180621,D
20180621N,20180621,N
20180622D,20180622,D
20180622N,20180622,N
20180623D,20180623,D
20180623N,20180623,N
20180624D,20180624,D
20180624N,20180624,N
20180625D,20180625,D
20180625N,20180625,N
20180626D,20180626,D
20180626N,20180626,N
20180627D,20180627,D
20180627N,20180627,N
20180628D,20180628,D
20180628N,20180628,N
20180629D,20180629,D
20180629N,20180629,N
20180630D,20180630,D
20180630N,20180630,N
20180701D,20180701,D
20180701N,20180701,N
20180702D,20180702,D
20180702N,20180702,N
20180703D,20180703,D
20180703N,20180703,N
20180704D,20180704,D
20180704N,20180704,N
20180705D,20180705,D
20180705N,20180705,N
20180706D,20180706,D
20180706N,20180706,N
20180707D,20180707,D
20180707N,20180707,N
20180708D,20180708,D
20180708N,20180708,N
20180709D,20180709,D
20180709N,20180709,N
20180710D,20180710,D
20180710N,20180710,N
20180711D,20180711,D
20180711N,20180711,N
20180712D,20180712,D
20180712N,20180712,N
20180713D,20180713,D
20180713N,20180713,N
20180714D,20180714,D
20180714N,20180714,N
20180715D,20180715,D
20180715N,20180715,N
20180716D,20180716,D
20180716N,20180716,N
20180717D,20180717,D
20180717N,20180717,N
20180718D,20180718,D
20180718N,20180718,N
20180719D,20180719,D
20180719N,20180719,N
20180720D,20180720,D
20180720N,20180720,N
20180721D,20180721,D
20180721N,20180721,N
20180722D,20180722,D
20180722N,20180722,N
20180723D,20180723,D
20180723N,20180723,N
20180724D,20180724,D
20180724N,20180724,N
20180725D,20180725,D
20180725N,20180725,N
20180726D,20180726,D
20180726N,20180726,N
20180727D,20180727,D
20180727N,20180727,N
20180728D,20180728,D
20180728N,20180728,N
20180729D,20180729,D
20180729N,20180729,N
20180730D,20180730,D
20180730N,20180730,N
20180731D,20180731,D
20180731N,20180731,N
20180801D,20180801,D
20180801N,20180801,N
20180802D,20180802,D
20180802N,20180802,N
20180803D,20180803,D
20180803N,20180803,N
20180804D,20180804,D
20180804N,20180804,N
20180805D,20180805,D
20180805N,20180805,N
20180806D,20180806,D
20180806N,20180806,N
20180807D,20180807,D
20180807N,20180807,N
20180808D,20180808,D
20180808N,20180808,N
20180809D,20180809,D
20180809N,20180809,N
20180810D,20180810,D
20180810N,20180810,N
20180811D,20180811,D
20180811N,20180811,N
20180812D,20180812,D
20180812N,20180812,N
20180813D,20180813,D
20180813N,20180813,N
20180814D,20180814,D
20180814N,20180814,N
20180815D,20180815,D
20180815N,20180815,N
20180816D,20180816,D
20180816N,20180816,N
20180817D,20180817,D
20180817N,20180817,N
20180818D,20180818,D
20180818N,20180818,N
20180819D,20180819,D
20180819N,20180819,N
20180820D,20180820,D
20180820N,20180820,N
20180821D,20180821,D
20180821N,20180821,N
20180822D,20180822,D
20180822N,20180822,N
20180823D,20180823,D
20180823N,20180823,N
20180824D,20180824,D
20180824N,20180824,N
20180825D,20180825,D
20180825N,20180825,N
20180826D,20180826,D
20180826N,20180826,N
20180827D,20180827,D
20180827N,20180827,N
20180828D,20180828,D
20180828N,20180828,N
20180829D,20180829,D
20180829N,20180829,N
20180830D,20180830,D
20180830N,20180830,N
20180831D,20180831,D
20180831N,20180831,N
20180901D,20180901,D
20180901N,20180901,N
20180902D,20180902,D
20180902N,20180902,N
20180903D,20180903,D
20180903N,20180903,N
20180904D,20180904,D
20180904N,20180904,N
20180905D,20180905,D
20180905N,20180905,N
20180906D,20180906,D
20180906N,20180906,N
20180907D,20180907,D
20180907N,20180907,N
20180908D,20180908,D
20180908N,20180908,N
20180909D,20180909,D
20180909N,20180909,N
20180910D,20180910,D
20180910N,20180910,N
20180911D,20180911,D
20180911N,20180911,N
20180912D,20180912,D
20180912N,20180912,N
20180913D,20180913,D
20180913N,20180913,N
20180914D,20180914,D
20180914N,20180914,N
20180915D,20180915,D
20180915N,20180915,N
20180916D,20180916,D
20180916N,20180916,N
20180917D,20180917,D
20180917N,20180917,N
20180918D,20180918,D
20180918N,20180918,N
20180919D,20180919,D
20180919N,20180919,N
20180920D,20180920,D
20180920N,20180920,N
20180921D,20180921,D
20180921N,20180921,N
20180922D,20180922,D
20180922N,20180922,N
20180923D,20180923,D
20180923N,20180923,N
20180924D,20180924,D
20180924N,20180924,N
20180925D,20180925,D
20180925N,20180925,N
20180926D,20180926,D
20180926N,20180926,N
20180927D,20180927,D
20180927N,20180927,N
20180928D,20180928,D
20180928N,20180928,N
20180929D,20180929,D
20180929N,20180929,N
20180930D,20180930,D
20180930N,20180930,N
20181001D,20181001,D
20181001N,20181001,N
20181002D,20181002,D
20181002N,20181002,N
20181003D,20181003,D
20181003N,20181003,N
20181004D,20181004,D
20181004N,20181004,N
20181005D,20181005,D
20181005N,20181005,N
20181006D,20181006,D
20181006N,20181006,N
20181007D,20181007,D
20181007N,20181007,N
20181008D,20181008,D
20181008N,20181008,N
20181009D,20181009,D
20181009N,20181009,N
20181010D,20181010,D
20181010N,20181010,N
20181011D,20181011,D
20181011N,20181011,N
20181012D,20181012,D
20181012N,20181012,N
20181013D,20181013,D
20181013N,20181013,N
20181014D,20181014,D
20181014N,20181014,N
20181015D,20181015,D
20181015N,20181015,N
20181016D,20181016,D
20181016N,20181016,N
20181017D,20181017,D
20181017N,20181017,N
20181018D,20181018,D
20181018N,20181018,N
20181019D,20181019,D
20181019N,20181019,N
20181020D,20181020,D
20181020N,20181020,N
20181021D,20181021,D
20181021N,20181021,N
20181022D,20181022,D
20181022N,20181022,N
20181023D,20181023,D
20181023N,20181023,N
20181024D,20181024,D
20181024N,20181024,N
20181025D,20181025,D
20181025N,20181025,N
20181026D,20181026,D
20181026N,20181026,N
20181027D,20181027,D
20181027N,20181027,N
20181028D,20181028,D
20181028N,20181028,N
20181029D,20181029,D
20181029N,20181029,N
20181030D,20181030,D
20181030N,20181030,N
20181031D,20181031,D
20181031N,20181031,N
20181101D,20181101,D
20181101N,20181101,N
20181102D,20181102,D
20181102N,20181102,N
20181103D,20181103,D
20181103N,20181103,N
20181104D,20181104,D
20181104N,20181104,N
20181105D,20181105,D
20181105N,20181105,N
20181106D,20181106,D
20181106N,20181106,N
20181107D,20181107,D
20181107N,20181107,N
20181108D,20181108,D
20181108N,20181108,N
20181109D,20181109,D
20181109N,20181109,N
20181110D,20181110,D
20181110N,20181110,N
20181111D,20181111,D
20181111N,20181111,N
20181112D,20181112,D
20181112N,20181112,N
20181113D,20181113,D
20181113N,20181113,N
20181114D,20181114,D
20181114N,20181114,N
20181115D,20181115,D
20181115N,20181115,N
20181116D,20181116,D
20181116N,20181116,N
20181117D,20181117,D
20181117N,20181117,N
20181118D,20181118,D
20181118N,20181118,N
20181119D,20181119,D
20181119N,20181119,N
20181120D,20181120,D
20181120N,20181120,N
20181121D,20181121,D
20181121N,20181121,N
20181122D,20181122,D
20181122N,20181122,N
20181123D,20181123,D
20181123N,20181123,N
20181124D,20181124,D
20181124N,20181124,N
20181125D,20181125,D
20181125N,20181125,N
20181126D,20181126,D
20181126N,20181126,N
20181127D,20181127,D
20181127N,20181127,N
20181128D,20181128,D
20181128N,20181128,N
20181129D,20181129,D
20181129N,20181129,N
20181130D,20181130,D
20181130N,20181130,N
20181201D,20181201,D
20181201N,20181201,N
20181202D,20181202,D
20181202N,20181202,N
20181203D,20181203,D
20181203N,20181203,N
20181204D,20181204,D
20181204N,20181204,N
20181205D,20181205,D
20181205N,20181205,N
20181206D,20181206,D
20181206N,20181206,N
20181207D,20181207,D
20181207N,20181207,N
20181208D,20181208,D
20181208N,20181208,N
20181209D,20181209,D
20181209N,20181209,N
20181210D,20181210,D
20181210N,20181210,N
20181211D,20181211,D
20181211N,20181211,N
20181212D,20181212,D
20181212N,20181212,N
20181213D,20181213,D
20181213N,20181213,N
20181214D,20181214,D
20181214N,20181214,N
20181215D,20181215,D
20181215N,20181215,N
20181216D,20181216,D
20181216N,20181216,N
20181217D,20181217,D
20181217N,20181217,N
20181218D,20181218,D
20181218N,20181218,N
20181219D,20181219,D
20181219N,20181219,N
20181220D,20181220,D
20181220N,20181220,N
20181221D,20181221,D
20181221N,20181221,N
20181222D,20181222,D
20181222N,20181222,N
20181223D,20181223,D
20181223N,20181223,N
20181224D,20181224,D
20181224N,20181224,N
20181225D,20181225,D
20181225N,20181225,N
20181226D,20181226,D
20181226N,20181226,N
20181227D,20181227,D
20181227N,20181227,N
20181228D,20181228,D
20181228N,20181228,N
20181229D,20181229,D
20181229N,20181229,N
20181230D,20181230,D
20181230N,20181230,N
20181231D,20181231,D
20181231N,20181231,N
20190101D,20190101,D
20190101N,20190101,N
20190102D,20190102,D
20190102N,20190102,N
20190103D,20190103,D
20190103N,20190103,N
20190104D,20190104,D
20190104N,20190104,N
20190105D,20190105,D
20190105N,20190105,N
20190106D,20190106,D
20190106N,20190106,N
20190107D,20190107,D
20190107N,20190107,N
20190108D,20190108,D
20190108N,20190108,N
20190109D,20190109,D
20190109N,20190109,N
20190110D,20190110,D
20190110N,20190110,N
20190111D,20190111,D
20190111N,20190111,N
20190112D,20190112,D
20190112N,20190112,N
20190113D,20190113,D
20190113N,20190113,N
20190114D,20190114,D
20190114N,20190114,N
20190115D,20190115,D
20190115N,20190115,N
20190116D,20190116,D
20190116N,20190116,N
20190117D,20190117,D
20190117N,20190117,N
20190118D,20190118,D
20190118N,20190118,N
20190119D,20190119,D
20190119N,20190119,N
20190120D,20190120,D
20190120N,20190120,N
20190121D,20190121,D
20190121N,20190121,N
20190122D,20190122,D
20190122N,20190122,N
20190123D,20190123,D
20190123N,20190123,N
20190124D,20190124,D
20190124N,20190124,N
20190125D,20190125,D
20190125N,20190125,N
20190126D,20190126,D
20190126N,20190126,N
20190127D,20190127,D
20190127N,20190127,N
20190128D,20190128,D
20190128N,20190128,N
20190129D,20190129,D
20190129N,20190129,N
20190130D,20190130,D
20190130N,20190130,N
20190131D,20190131,D
20190131N,20190131,N
20190201D,20190201,D
20190201N,20190201,N
20190202D,20190202,D
20190202N,20190202,N
20190203D,20190203,D
20190203N,20190203,N
20190204D,20190204,D
20190204N,20190204,N
20190205D,20190205,D
20190205N,20190205,N
20190206D,20190206,D
20190206N,20190206,N
20190207D,20190207,D
20190207N,20190207,N
20190208D,20190208,D
20190208N,20190208,N
20190209D,20190209,D
20190209N,20190209,N
20190210D,20190210,D
20190210N,20190210,N
20190211D,20190211,D
20190211N,20190211,N
20190212D,20190212,D
20190212N,20190212,N
20190213D,20190213,D
20190213N,20190213,N
20190214D,20190214,D
20190214N,20190214,N
20190215D,20190215,D
20190215N,20190215,N
20190216D,20190216,D
20190216N,20190216,N
20190217D,20190217,D
20190217N,20190217,N
20190218D,20190218,D
20190218N,20190218,N
20190219D,20190219,D
20190219N,20190219,N
20190220D,20190220,D
20190220N,20190220,N
20190221D,20190221,D
20190221N,20190221,N
20190222D,20190222,D
20190222N,20190222,N
20190223D,20190223,D
20190223N,20190223,N
20190224D,20190224,D
20190224N,20190224,N
20190225D,20190225,D
20190225N,20190225,N
20190226D,20190226,D
20190226N,20190226,N
20190227D,20190227,D
20190227N,20190227,N
20190228D,20190228,D
20190228N,20190228,N
20190301D,20190301,D
20190301N,20190301,N
20190302D,20190302,D
20190302N,20190302,N
20190303D,20190303,D
20190303N,20190303,N
20190304D,20190304,D
20190304N,20190304,N
20190305D,20190305,D
20190305N,20190305,N
20190306D,20190306,D
20190306N,20190306,N
20190307D,20190307,D
20190307N,20190307,N
20190308D,20190308,D
20190308N,20190308,N
20190309D,20190309,D
20190309N,20190309,N
20190310D,20190310,D
20190310N,20190310,N
20190311D,20190311,D
20190311N,20190311,N
20190312D,20190312,D
20190312N,20190312,N
20190313D,20190313,D
20190313N,20190313,N
20190314D,20190314,D
20190314N,20190314,N
20190315D,20190315,D
20190315N,20190315,N
20190316D,20190316,D
20190316N,20190316,N
20190317D,20190317,D
20190317N,20190317,N
20190318D,20190318,D
20190318N,20190318,N
20190319D,20190319,D
20190319N,20190319,N
20190320D,20190320,D
20190320N,20190320,N
20190321D,20190321,D
20190321N,20190321,N
20190322D,20190322,D
20190322N,20190322,N
20190323D,20190323,D
20190323N,20190323,N
20190324D,20190324,D
20190324N,20190324,N
20190325D,20190325,D
20190325N,20190325,N
20190326D,20190326,D
20190326N,20190326,N
20190327D,20190327,D
20190327N,20190327,N
20190328D,20190328,D
20190328N,20190328,N
20190329D,20190329,D
20190329N,20190329,N
20190330D,20190330,D
20190330N,20190330,N
20190331D,20190331,D
20190331N,20190331,N
20190401D,20190401,D
20190401N,20190401,N
20190402D,20190402,D
20190402N,20190402,N
20190403D,20190403,D
20190403N,20190403,N
20190404D,20190404,D
20190404N,20190404,N
20190405D,20190405,D
20190405N,20190405,N
20190406D,20190406,D
20190406N,20190406,N
20190407D,20190407,D
20190407N,20190407,N
20190408D,20190408,D
20190408N,20190408,N
20190409D,20190409,D
20190409N,20190409,N
20190410D,20190410,D
20190410N,20190410,N
20190411D,20190411,D
20190411N,20190411,N
20190412D,20190412,D
20190412N,20190412,N
20190413D,20190413,D
20190413N,20190413,N
20190414D,20190414,D
20190414N,20190414,N
20190415D,20190415,D
20190415N,20190415,N
20190416D,20190416,D
20190416N,20190416,N
20190417D,20190417,D
20190417N,20190417,N
20190418D,20190418,D
20190418N,20190418,N
20190419D,20190419,D
20190419N,20190419,N
20190420D,20190420,D
20190420N,20190420,N
20190421D,20190421,D
20190421N,20190421,N
20190422D,20190422,D
20190422N,20190422,N
20190423D,20190423,D
20190423N,20190423,N
20190424D,20190424,D
20190424N,20190424,N
20190425D,20190425,D
20190425N,20190425,N
20190426D,20190426,D
20190426N,20190426,N
20190427D,20190427,D
20190427N,20190427,N
20190428D,20190428,D
20190428N,20190428,N
20190429D,20190429,D
20190429N,20190429,N
20190430D,20190430,D
20190430N,20190430,N
20190501D,20190501,D
20190501N,20190501,N
20190502D,20190502,D
20190502N,20190502,N
20190503D,20190503,D
20190503N,20190503,N
20190504D,20190504,D
20190504N,20190504,N
20190505D,20190505,D
20190505N,20190505,N
20190506D,20190506,D
20190506N,20190506,N
20190507D,20190507,D
20190507N,20190507,N
20190508D,20190508,D
20190508N,20190508,N
20190509D,20190509,D
20190509N,20190509,N
20190510D,20190510,D
20190510N,20190510,N
20190511D,20190511,D
20190511N,20190511,N
20190512D,20190512,D
20190512N,20190512,N
20190513D,20190513,D
20190513N,20190513,N
20190514D,20190514,D
20190514N,20190514,N
20190515D,20190515,D
20190515N,20190515,N
20190516D,20190516,D
20190516N,20190516,N
20190517D,20190517,D
20190517N,20190517,N
20190518D,20190518,D
20190518N,20190518,N
20190519D,20190519,D
20190519N,20190519,N
20190520D,20190520,D
20190520N,20190520,N
20190521D,20190521,D
20190521N,20190521,N
20190522D,20190522,D
20190522N,20190522,N
20190523D,20190523,D
20190523N,20190523,N
20190524D,20190524,D
20190524N,20190524,N
20190525D,20190525,D
20190525N,20190525,N
20190526D,20190526,D
20190526N,20190526,N
20190527D,20190527,D
20190527N,20190527,N
20190528D,20190528,D
20190528N,20190528,N
20190529D,20190529,D
20190529N,20190529,N
20190530D,20190530,D
20190530N,20190530,N
20190531D,20190531,D
20190531N,20190531,N
20190601D,20190601,D
20190601N,20190601,N
20190602D,20190602,D
20190602N,20190602,N
20190603D,20190603,D
20190603N,20190603,N
20190604D,20190604,D
20190604N,20190604,N
20190605D,20190605,D
20190605N,20190605,N
20190606D,20190606,D
20190606N,20190606,N
20190607D,20190607,D
20190607N,20190607,N
20190608D,20190608,D
20190608N,20190608,N
20190609D,20190609,D
20190609N,20190609,N
20190610D,20190610,D
20190610N,20190610,N
20190611D,20190611,D
20190611N,20190611,N
20190612D,20190612,D
20190612N,20190612,N
20190613D,20190613,D
20190613N,20190613,N
20190614D,20190614,D
20190614N,20190614,N
20190615D,20190615,D
20190615N,20190615,N
20190616D,20190616,D
20190616N,20190616,N
20190617D,20190617,D
20190617N,20190617,N
20190618D,20190618,D
20190618N,20190618,N
20190619D,20190619,D
20190619N,20190619,N
20190620D,20190620,D
20190620N,20190620,N
20190621D,20190621,D
20190621N,20190621,N
20190622D,20190622,D
