lat,lat
30.125,30.125
30.17515754699707,30.175158
30.22531509399414,30.225315
30.27547264099121,30.275473
30.32563018798828,30.32563
30.37578773498535,30.375788
30.425947189331055,30.425947
30.476104736328125,30.476105
30.526262283325195,30.526262
30.576419830322266,30.57642
30.626577377319336,30.626577
30.676734924316406,30.676735
30.726892471313477,30.726892
30.777050018310547,30.77705
30.827207565307617,30.827208
30.877365112304688,30.877365
30.92752456665039,30.927525
30.97768211364746,30.977682
31.02783966064453,31.02784
31.0779972076416,31.077997
31.128154754638672,31.128155
31.178312301635742,31.178312
31.228469848632812,31.22847
31.278627395629883,31.278627
31.328784942626953,31.328785
31.378942489624023,31.378942
31.429101943969727,31.429102
31.479259490966797,31.47926
31.529417037963867,31.529417
31.579574584960938,31.579575
31.629732131958008,31.629732
31.679889678955078,31.67989
31.73004722595215,31.730047
31.78020477294922,31.780205
31.83036231994629,31.830362
31.88051986694336,31.88052
31.930679321289062,31.93068
31.980836868286133,31.980837
32.0309944152832,32.030994
32.08115005493164,32.08115
32.131309509277344,32.13131
32.18146514892578,32.181465
32.231624603271484,32.231625
32.28178405761719,32.281784
32.331939697265625,32.33194
32.38209915161133,32.3821
32.432254791259766,32.432255
32.48241424560547,32.482414
32.532569885253906,32.53257
32.58272933959961,32.58273
32.63288497924805,32.632885
32.68304443359375,32.683044
32.73320388793945,32.733204
32.78335952758789,32.78336
32.833518981933594,32.83352
32.88367462158203,32.883675
32.933834075927734,32.933834
32.98398971557617,32.98399
33.034149169921875,33.03415
33.08430480957031,33.084305
33.134464263916016,33.134464
33.18462371826172,33.184624
33.234779357910156,33.23478
33.28493881225586,33.28494
33.3350944519043,33.335094
33.38525390625,33.385254
33.43540954589844,33.43541
33.48556900024414,33.48557
33.53572463989258,33.535725
33.58588409423828,33.585884
33.63603973388672,33.63604
33.68619918823242,33.6862
33.736358642578125,33.73636
33.78651428222656,33.786514
33.836673736572266,33.836674
33.8868293762207,33.88683
33.936988830566406,33.93699
33.987144470214844,33.987144
34.03730392456055,34.037304
34.087459564208984,34.08746
34.13761901855469,34.13762
34.187774658203125,34.187775
34.23793411254883,34.237934
34.28809356689453,34.288094
34.33824920654297,34.33825
34.38840866088867,34.38841
34.43856430053711,34.438564
34.48872375488281,34.488724
34.53887939453125,34.53888
34.58903884887695,34.58904
34.63919448852539,34.639194
34.689353942871094,34.689354
