lon,lon
-18.125,-18.125
-18.074954986572266,-18.074955
-18.0249080657959,-18.024908
-17.974863052368164,-17.974863
-17.924816131591797,-17.924816
-17.874771118164062,-17.874771
-17.824724197387695,-17.824724
-17.77467918395996,-17.77468
-17.724632263183594,-17.724632
-17.67458724975586,-17.674587
-17.624540328979492,-17.62454
-17.574495315551758,-17.574495
-17.52444839477539,-17.524448
-17.474403381347656,-17.474403
-17.42435646057129,-17.424356
-17.374311447143555,-17.374311
-17.324264526367188,-17.324265
-17.274219512939453,-17.27422
-17.224172592163086,-17.224173
-17.17412757873535,-17.174128
-17.124080657958984,-17.12408
-17.07403564453125,-17.074036
-17.023988723754883,-17.023989
-16.97394371032715,-16.973944
-16.92389678955078,-16.923897
-16.873851776123047,-16.873852
-16.82380485534668,-16.823805
-16.773759841918945,-16.77376
-16.723712921142578,-16.723713
-16.673667907714844,-16.673668
-16.623620986938477,-16.623621
-16.573575973510742,-16.573576
-16.523529052734375,-16.52353
-16.47348403930664,-16.473484
-16.423437118530273,-16.423437
-16.37339210510254,-16.373392
-16.323345184326172,-16.323345
-16.273300170898438,-16.2733
-16.22325325012207,-16.223253
-16.173208236694336,-16.173208
-16.12316131591797,-16.123161
-16.073116302490234,-16.073116
-16.023069381713867,-16.02307
-15.973024368286133,-15.973024
-15.922977447509766,-15.922977
-15.872932434082031,-15.872932
-15.822885513305664,-15.8228855
-15.77284049987793,-15.7728405
-15.722793579101562,-15.722794
-15.672748565673828,-15.672749
-15.622701644897461,-15.622702
-15.572656631469727,-15.572657
-15.52260971069336,-15.52261
-15.472564697265625,-15.472565
-15.422518730163574,-15.422519
-15.372472763061523,-15.372473
-15.322426795959473,-15.322427
-15.272380828857422,-15.272381
-15.222334861755371,-15.222335
-15.17228889465332,-15.172289
-15.12224292755127,-15.122243
-15.072196960449219,-15.072197
-15.022150993347168,-15.022151
-14.972105026245117,-14.972105
-14.922059059143066,-14.922059
-14.872013092041016,-14.872013
-14.821967124938965,-14.821967
-14.771921157836914,-14.771921
-14.721875190734863,-14.721875
-14.671829223632812,-14.671829
-14.621783256530762,-14.621783
-14.571737289428711,-14.571737
-14.52169132232666,-14.521691
-14.47164535522461,-14.471645
-14.421599388122559,-14.421599
-14.371553421020508,-14.371553
-14.321507453918457,-14.321507
-14.271461486816406,-14.2714615
-14.221415519714355,-14.2214155
-14.171369552612305,-14.17137
-14.121323585510254,-14.121324
-14.071277618408203,-14.071278
-14.021231651306152,-14.021232
-13.971185684204102,-13.971186
-13.92113971710205,-13.92114
-13.87109375,-13.871094
-13.82104778289795,-13.821048
-13.771001815795898,-13.771002
-13.720955848693848,-13.720956
-13.670909881591797,-13.67091
-13.620863914489746,-13.620864
-13.570817947387695,-13.570818
-13.520771980285645,-13.520772
-13.470726013183594,-13.470726
-13.420680046081543,-13.42068
-13.370634078979492,-13.370634
-13.320588111877441,-13.320588
-13.27054214477539,-13.270542
-13.22049617767334,-13.220496
-13.170450210571289,-13.17045
-13.120404243469238,-13.120404
-13.070358276367188,-13.070358
-13.020312309265137,-13.020312
-12.970266342163086,-12.970266
-12.920220375061035,-12.92022
-12.870174407958984,-12.870174
-12.820128440856934,-12.820128
-12.770082473754883,-12.770082
-12.720037460327148,-12.720037
-12.669990539550781,-12.669991
-12.619945526123047,-12.619946
-12.56989860534668,-12.569899
-12.519853591918945,-12.519854
-12.469806671142578,-12.469807
-12.419761657714844,-12.419762
-12.369714736938477,-12.369715
-12.319669723510742,-12.31967
-12.269622802734375,-12.269623
-12.21957778930664,-12.219578
-12.169530868530273,-12.169531
-12.119485855102539,-12.119486
-12.069438934326172,-12.069439
-12.019393920898438,-12.019394
-11.96934700012207,-11.969347
-11.919301986694336,-11.919302
-11.869255065917969,-11.869255
-11.819210052490234,-11.81921
-11.769163131713867,-11.769163
-11.719118118286133,-11.719118
-11.669071197509766,-11.669071
-11.619026184082031,-11.619026
-11.568979263305664,-11.568979
-11.51893424987793,-11.518934
-11.468887329101562,-11.468887
-11.418842315673828,-11.418842
-11.368795394897461,-11.368795
-11.318750381469727,-11.31875
-11.26870346069336,-11.268703
-11.218658447265625,-11.218658
-11.168611526489258,-11.168612
-11.118566513061523,-11.1185665
-11.068519592285156,-11.06852
-11.018474578857422,-11.018475
-10.968427658081055,-10.968428
-10.91838264465332,-10.918383
-10.868335723876953,-10.868336
-10.818290710449219,-10.818291
-10.768243789672852,-10.768244
-10.718198776245117,-10.718199
-10.66815185546875,-10.668152
-10.618106842041016,-10.618107
-10.568060874938965,-10.568061
-10.518014907836914,-10.518015
-10.467968940734863,-10.467969
-10.417922973632812,-10.417923
-10.367877006530762,-10.367877
-10.317831039428711,-10.317831
-10.26778507232666,-10.267785
-10.21773910522461,-10.217739
-10.167693138122559,-10.167693
-10.117647171020508,-10.117647
-10.067601203918457,-10.067601
-10.017555236816406,-10.017555
-9.967509269714355,-9.967509
-9.917463302612305,-9.917463
-9.867417335510254,-9.867417
-9.817371368408203,-9.817371
-9.767325401306152,-9.767325
-9.717279434204102,-9.717279
-9.66723346710205,-9.667233
-9.6171875,-9.6171875
-9.56714153289795,-9.567142
-9.517095565795898,-9.517096
-9.467049598693848,-9.46705
-9.417003631591797,-9.417004
-9.366957664489746,-9.366958
-9.316911697387695,-9.316912
-9.266865730285645,-9.266866
-9.216819763183594,-9.21682
-9.166773796081543,-9.166774
-9.116727828979492,-9.116728
-9.066681861877441,-9.066682
-9.01663589477539,-9.016636
-8.96658992767334,-8.96659
-8.916543960571289,-8.916544
-8.866497993469238,-8.866498
-8.816452026367188,-8.816452
-8.766406059265137,-8.766406
-8.716360092163086,-8.71636
-8.666314125061035,-8.666314
-8.616268157958984,-8.616268
-8.566222190856934,-8.566222
-8.516176223754883,-8.516176
-8.466130256652832,-8.46613
-8.416084289550781,-8.416084
-8.36603832244873,-8.366038
